"year.x","GPA.Range","major1","major2","survey_plans","survey_internships","survey_salary","Gender","IPEDS.Race.Ethnicity","latin_honors","Combined Bacc and Masters","Region"
"2019","3.50 - 4.00","Finance","0","accepted fulltime job","MoreThanOne",61083.6580406654,"Male","White","1","0","West"
"2019","3.00 - 3.49","Finance","0","accepted fulltime job","One",54000,"Male","White","0","0","West"
"2021","3.00 - 3.49","Marketing","0","accepted parttime job","None",30000,"Female","Multi Racial","0","0","West"
"2020","3.50 - 4.00","Supply Chain & Operations Mgmt","0","accepted fulltime job","MoreThanOne",53000,"Male","White","1","0","West"
"2019","2.50 - 2.99","Marketing","0","accepted fulltime job","One",52222.7320665083,"Female","White","0","0","West"
"2020","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",58000,"Female","White","0","0","South"
"2021","3.50 - 4.00","Marketing","0","accepted fulltime job","MoreThanOne",58000,"Female","Multi Racial","1","0","South"
"2020","3.50 - 4.00","Marketing","0","accepted fulltime job","MoreThanOne",52222.7320665083,"Male","White","1","0","South"
"2021","3.50 - 4.00","Accountancy","0","accepted fulltime job","One",73000,"Male","White","1","1","West"
"2020","3.50 - 4.00","Finance","0","accepted fulltime job","One",70000,"Female","White","1","0","West"
"2019","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",80000,"Male","White","0","0","West"
"2020","2.50 - 2.99","Marketing","0","accepted fulltime job","One",52222.7320665083,"Male","White","0","0","West"
"2020","2.50 - 2.99","Marketing","0","accepted fulltime job","MoreThanOne",52222.7320665083,"Male","White","0","0","West"
"2019","3.00 - 3.49","Supply Chain & Operations Mgmt","0","accepted fulltime job","MoreThanOne",60400,"Male","White","0","0","West"
"2020","3.00 - 3.49","Finance","0","accepted fulltime job","None",61083.6580406654,"Male","Asian","0","0","West"
"2020","3.50 - 4.00","Accountancy","0","accepted fulltime job","MoreThanOne",71000,"Female","White","1","0","West"
"2020","3.00 - 3.49","Information Systems","0","accepted fulltime job","MoreThanOne",75000,"Male","White","0","0","West"
"2021","2.50 - 2.99","Finance","0","accepted fulltime job","MoreThanOne",60000,"Male","Hispanic/Latino","0","0","West"
"2020","3.00 - 3.49","Human Capital Mgmt & Leadership","0","accepted fulltime job","MoreThanOne",53689.2972972973,"Male","White","0","0","West"
"2019","3.50 - 4.00","Finance","0","accepted fulltime job","MoreThanOne",92000,"Male","White","1","0","West"
"2019","2.50 - 2.99","Human Capital Mgmt & Leadership","0","continuing education","None",53689.2972972973,"Male","Asian","0","0","West"
"2019","2.50 - 2.99","Finance","0","accepted parttime job","None",70000,"Male","Hispanic/Latino","0","0","West"
"2019","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",52222.7320665083,"Male","White","0","0","West"
"2021","3.50 - 4.00","Accountancy","1","accepted fulltime job","One",85000,"Male","White","1","0","West"
"2020","2.50 - 2.99","Marketing","0","accepted fulltime job","One",55000,"Male","Black or African American","0","0","West"
"2020","3.00 - 3.49","Marketing","0","accepted fulltime job","One",60000,"Male","White","0","0","West"
"2020","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",61083.6580406654,"Female","Hispanic/Latino","0","0","West"
"2020","3.00 - 3.49","Supply Chain & Operations Mgmt","0","accepted fulltime job","MoreThanOne",65000,"Female","White","0","0","West"
"2021","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",60000,"Female","White","0","0","West"
"2019","3.50 - 4.00","Marketing","0","accepted fulltime job","MoreThanOne",50000,"Male","White","1","0","West"
"2020","3.50 - 4.00","Finance","0","accepted fulltime job","One",60000,"Male","Black or African American","0","0","West"
"2019","2.50 - 2.99","Marketing","0","accepted fulltime job","MoreThanOne",38000,"Male","White","0","0","West"
"2019","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",52222.7320665083,"Male","White","1","0","West"
"2020","3.50 - 4.00","Finance","0","accepted fulltime job","MoreThanOne",76000,"Male","White","0","0","West"
"2019","3.00 - 3.49","Supply Chain & Operations Mgmt","0","accepted fulltime job","One",61880,"Female","White","1","0","West"
"2021","3.00 - 3.49","Finance","0","accepted fulltime job","One",58500,"Female","White","0","0","West"
"2021","3.00 - 3.49","Human Capital Mgmt & Leadership","0","accepted fulltime job","MoreThanOne",53689.2972972973,"Male","Hispanic/Latino","0","0","West"
"2021","3.50 - 4.00","Accountancy","0","accepted fulltime job","MoreThanOne",70000,"Female","White","1","0","West"
"2019","3.00 - 3.49","Marketing","0","seeking employment","MoreThanOne",52222.7320665083,"Male","White","0","0","West"
"2020","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",75000,"Male","Multi Racial","0","0","West"
"2020","3.50 - 4.00","Information Systems","0","accepted fulltime job","One",72000,"Female","Non-Resident Alien","1","0","West"
"2021","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",100000,"Female","White","0","0","West"
"2019","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",35000,"Female","White","0","0","West"
"2021","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",47010,"Male","White","0","0","West"
"2020","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",90000,"Male","White","0","0","West"
"2021","3.50 - 4.00","Accountancy","1","accepted fulltime job","One",85000,"Male","White","1","0","West"
"2019","3.50 - 4.00","Business Economics","0","accepted fulltime job","One",55000,"Male","White","1","0","West"
"2019","3.00 - 3.49","Finance","0","accepted fulltime job","One",75000,"Male","White","0","0","West"
"2021","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",55000,"Male","White","0","0","West"
"2020","3.00 - 3.49","Accountancy","0","accepted fulltime job","One",55000,"Male","Hispanic/Latino","0","0","West"
"2019","3.50 - 4.00","Marketing","0","accepted fulltime job","MoreThanOne",52222.7320665083,"Female","White","1","0","West"
"2020","3.50 - 4.00","Accountancy","0","accepted fulltime job","One",55000,"Male","White","1","1","West"
"2021","3.00 - 3.49","Accountancy","0","accepted fulltime job","MoreThanOne",45000,"Male","White","0","0","West"
"2020","3.50 - 4.00","Accountancy","1","accepted fulltime job","One",67000,"Female","White","1","0","West"
"2021","3.00 - 3.49","Finance","0","accepted fulltime job","None",69000,"Male","White","0","0","West"
"2020","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",65000,"Male","White","0","0","West"
"2019","2.50 - 2.99","Information Systems","0","accepted fulltime job","MoreThanOne",65000,"Male","White","0","0","West"
"2021","3.50 - 4.00","Accountancy","1","accepted fulltime job","MoreThanOne",55000,"Male","White","1","0","West"
"2021","3.50 - 4.00","Accountancy","0","accepted fulltime job","One",58000,"Female","White","1","0","West"
"2020","3.00 - 3.49","Marketing","0","accepted fulltime job","One",50000,"Female","White","0","0","West"
"2021","3.50 - 4.00","Marketing","0","accepted fulltime job","MoreThanOne",70000,"Female","White","1","0","West"
"2020","3.50 - 4.00","Accountancy","0","accepted fulltime job","MoreThanOne",69000,"Male","White","1","0","West"
"2019","3.50 - 4.00","Accountancy","0","accepted fulltime job","One",56000,"Female","White","1","0","West"
"2021","3.00 - 3.49","Finance","0","accepted fulltime job","One",63000,"Male","White","0","0","West"
"2021","3.00 - 3.49","Accountancy","1","accepted fulltime job","MoreThanOne",55000,"Male","White","0","0","West"
"2021","2.50 - 2.99","Marketing","0","accepted fulltime job","None",40000,"Male","White","0","0","West"
"2020","3.00 - 3.49","Finance","0","accepted fulltime job","One",61083.6580406654,"Male","White","0","0","West"
"2019","3.00 - 3.49","Marketing","0","accepted fulltime job","None",40000,"Male","White","0","0","West"
"2019","3.50 - 4.00","Finance","0","accepted fulltime job","MoreThanOne",57000,"Male","White","1","0","West"
"2020","3.00 - 3.49","Marketing","0","accepted fulltime job","MoreThanOne",56000,"Male","White","0","0","West"
"2021","3.50 - 4.00","Business Analytics","0","accepted fulltime job","MoreThanOne",75000,"Female","White","1","0","West"
"2021","3.50 - 4.00","Business Economics","0","accepted fulltime job","MoreThanOne",56000,"Male","White","1","0","Northeast"
"2020","3.50 - 4.00","Accountancy","0","accepted fulltime job","MoreThanOne",63000,"Male","White","1","1","Northeast"
"2021","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",61083.6580406654,"Male","White","0","0","Northeast"
"2020","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",61083.6580406654,"Male","White","0","0","Northeast"
"2019","3.00 - 3.49","Marketing","0","accepted fulltime job","One",63000,"Female","White","0","0","Northeast"
"2019","3.00 - 3.49","Finance","0","accepted fulltime job","One",62500,"Female","White","0","0","Northeast"
"2021","3.00 - 3.49","Finance","0","accepted fulltime job","MoreThanOne",53000,"Male","White","0","0","Northeast"
